character1,character2,direct_interaction,indirect_interaction,total_interactions
ANSEN,ASSISTANT,6,5,11
ANSEN,NSA AGENT,13,3,16
ASSISTANT,NSA AGENT,3,1,4
GOVERNMENT MAN,NSA AGENT,0,1,1
ANSEN,GOVERNMENT MAN,1,1,2
ASSISTANT,GOVERNMENT MAN,1,0,1
BALLPLAYER,COOPER,5,0,5
COOPER,MURPH,31,16,47
BALLPLAYER,MURPH,2,0,2
DONALD,MURPH,2,1,3
DONALD,TOM,1,2,3
MURPH,TOM,3,7,10
COOPER,TOM,15,4,19
COOPER,DONALD,18,8,26
COOPER,PRINCIPAL,13,4,17
COOPER,RIGGS,3,0,3
COOPER,OLD MAN,1,0,1
MURPH,TARS,1,1,2
COOPER,TARS,34,12,46
BRAND,COOPER,177,57,234
BRAND,TARS,8,6,14
ASSISTANT,BRAND,1,1,2
ASSISTANT,COOPER,3,1,4
ASSISTANT,PROFESSOR BRAND,0,1,1
COOPER,PROFESSOR BRAND,3,0,3
DOYLE,PROFESSOR BRAND,0,1,1
COOPER,DOYLE,35,34,69
BRAND,DOYLE,27,17,44
ASSISTANT,DOYLE,0,1,1
BRAND,MURPH,0,1,1
BRAND,CASE,7,10,17
CASE,COOPER,48,20,68
CASE,PROFESSOR BRAND,1,2,3
BRAND'S FATHER,CASE,1,1,2
BRAND'S FATHER,PROFESSOR BRAND,1,0,1
BRAND'S FATHER,COOPER,0,1,1
DOYLE,TARS,3,2,5
CASE,ROTH,10,8,18
COOPER,ROTH,29,15,44
DOYLE,ROTH,22,10,32
CASE,DOYLE,12,8,20
BRAND,ROTH,20,12,32
PROFESSOR BRAND,TARS,1,2,3
COOPER,ENGINEER ROBOT,1,1,2
CHINESE OFFICER,COOPER,0,1,1
BRAND,CHINESE OFFICER,1,0,1
CASE,CHINESE OFFICER,1,0,1
CHINESE OFFICER,LIU,0,1,1
CASE,LIU,1,2,3
BRAND,LIU,7,6,13
COOPER,LIU,3,2,5
LIU,ROTH,3,1,4
FARMER,MURPH,3,1,4
EMILY COOPER,MURPH,4,2,6
COOPER,EMILY COOPER,0,1,1
MURPH,WIFE,1,0,1
COOPER,DOCTOR,6,2,8
ADMINISTRATOR,COOPER,16,4,20
